source,target,weight
130,176,1.0
130,7746,1.0
131,1373,1.0
131,2684,1.0
131,4334,1.0
131,5158,1.0
131,10008,1.0
132,1005,1.0
132,2213,1.0
132,3018,1.0
133,15,1.0
133,170,1.0
133,4082,1.0
133,4116,1.0
133,8822,1.0
133,11776,1.0
134,9,1.0
134,281,1.0
134,4240,1.0
134,5558,1.0
135,2826,1.0
135,4483,1.0
136,2179,1.0
136,5719,1.0
136,6823,1.0
136,7648,1.0
136,8338,1.0
136,10039,1.0
136,10932,1.0
137,10693,1.0
137,11920,1.0
138,125,1.0
138,2226,1.0
138,3763,1.0
138,4007,1.0
138,5724,1.0
138,10454,1.0
138,10894,1.0
139,4156,1.0
139,5911,1.0
139,5961,1.0
139,6049,1.0
139,7617,1.0
139,7988,1.0
139,8271,1.0
140,187,1.0
140,533,1.0
140,1988,1.0
140,2838,1.0
140,6725,1.0
140,6780,1.0
140,7709,1.0
140,10119,1.0
140,10602,1.0
141,2401,1.0
142,1543,1.0
142,1746,1.0
142,2091,1.0
142,3477,1.0
142,4408,1.0
142,4562,1.0
142,5227,1.0
142,5316,1.0
142,5353,1.0
143,10118,1.0
144,173,1.0
144,2384,1.0
144,2756,1.0
144,3329,1.0
144,4166,1.0
144,10827,1.0
145,3,1.0
145,2425,1.0
145,2488,1.0
145,4195,1.0
145,4645,1.0
145,4684,1.0
145,5169,1.0
146,3595,1.0
147,1447,1.0
147,1761,1.0
147,2365,1.0
147,4489,1.0
147,5173,1.0
147,5729,1.0
147,6023,1.0
147,7451,1.0
147,9143,1.0
147,9948,1.0
148,2310,1.0
148,2695,1.0
148,4381,1.0
148,7387,1.0
148,8047,1.0
149,7648,1.0
149,11150,1.0
150,1055,1.0
150,1887,1.0
150,5341,1.0
150,7004,1.0
151,7456,1.0
151,9758,1.0
152,128,1.0
152,2193,1.0
152,2570,1.0
152,6104,1.0
152,10832,1.0
153,170,1.0
153,9971,1.0
154,5990,1.0
155,2754,1.0
155,2799,1.0
155,2845,1.0
155,2856,1.0
155,6368,1.0
155,8079,1.0
155,10763,1.0
155,11847,1.0
156,91,1.0
156,2600,1.0
156,4416,1.0
156,5390,1.0
156,6392,1.0
156,7087,1.0
156,7650,1.0
156,11756,1.0
157,2833,1.0
157,4007,1.0
158,326,1.0
158,3767,1.0
158,5956,1.0
158,7470,1.0
158,7861,1.0
159,7412,1.0
160,5,1.0
160,26,1.0
160,39,1.0
160,49,1.0
160,2998,1.0
160,4170,1.0
160,5036,1.0
160,5253,1.0
160,5273,1.0
161,4261,1.0
161,7929,1.0
161,10481,1.0
161,10532,1.0
162,3811,1.0
162,5876,1.0
162,7656,1.0
163,1090,1.0
163,1232,1.0
163,1849,1.0
163,2478,1.0
163,4017,1.0
163,5107,1.0
163,7076,1.0
163,7084,1.0
163,7865,1.0
163,10894,1.0
164,5380,1.0
165,4687,1.0
165,5021,1.0
165,5069,1.0
165,5136,1.0
165,6978,1.0
165,11231,1.0
166,10704,1.0
167,2363,1.0
168,185,1.0
168,4370,1.0
168,4646,1.0
168,4717,1.0
168,6749,1.0
169,2470,1.0
169,4108,1.0
169,6915,1.0
169,6998,1.0
170,15,1.0
170,133,1.0
170,153,1.0
170,10395,1.0
170,11776,1.0
171,1747,1.0
171,3111,1.0
171,5821,1.0
171,9143,1.0
171,10878,1.0
171,10902,1.0
172,11756,1.0
173,144,1.0
173,2259,1.0
173,4514,1.0
173,5491,1.0
173,7041,1.0
173,7413,1.0
173,10271,1.0
173,10589,1.0
173,10625,1.0
173,10669,1.0
174,1966,1.0
175,4449,1.0
175,7319,1.0
176,130,1.0
176,963,1.0
176,2772,1.0
176,4237,1.0
176,4527,1.0
176,7836,1.0
176,7858,1.0
177,127,1.0
177,906,1.0
177,2047,1.0
177,2429,1.0
177,4472,1.0
177,5879,1.0
177,7346,1.0
177,7770,1.0
177,7898,1.0
177,10621,1.0
178,127,1.0
178,1881,1.0
178,7352,1.0
178,12055,1.0
179,113,1.0
179,856,1.0
179,10634,1.0
180,980,1.0
180,2117,1.0
180,2938,1.0
180,3108,1.0
180,3250,1.0
181,1377,1.0
181,2139,1.0
181,2226,1.0
181,6956,1.0
181,7088,1.0
181,7588,1.0
181,11526,1.0
182,8166,1.0
182,8399,1.0
182,10222,1.0
183,11410,1.0
184,667,1.0
184,5126,1.0
184,8486,1.0
185,108,1.0
185,168,1.0
185,2630,1.0
185,4717,1.0
185,5153,1.0
185,6749,1.0
185,12043,1.0
186,3994,1.0
186,6035,1.0
186,7931,1.0
186,8033,1.0
186,8200,1.0
187,25,1.0
187,140,1.0
187,522,1.0
187,1319,1.0
187,2491,1.0
187,3462,1.0
187,4684,1.0
188,3170,1.0
188,5854,1.0
188,6810,1.0
188,9779,1.0
188,9802,1.0
188,10285,1.0
188,10296,1.0
188,10353,1.0
188,10561,1.0
188,10772,1.0
188,11867,1.0
189,1403,1.0
189,8458,1.0
190,8755,1.0
190,8834,1.0
190,11127,1.0
191,2941,1.0
191,3140,1.0
191,3452,1.0
191,10646,1.0
192,1524,1.0
192,1753,1.0
192,3981,1.0
192,5942,1.0
192,6505,1.0
192,6658,1.0
192,7205,1.0
192,10577,1.0
192,12004,1.0
193,314,1.0
193,731,1.0
193,3961,1.0
193,3983,1.0
193,5255,1.0
193,6202,1.0
193,9416,1.0
193,9460,1.0
193,9590,1.0
193,10033,1.0
193,11836,1.0
194,5624,1.0
194,7509,1.0
194,10486,1.0
194,10585,1.0
195,717,1.0
195,3340,1.0
195,4341,1.0
195,4374,1.0
195,5611,1.0
195,5654,1.0
195,7545,1.0
195,8572,1.0
195,9102,1.0
195,9248,1.0
195,10375,1.0
196,379,1.0
196,4926,1.0
196,9729,1.0
197,2782,1.0
198,4275,1.0
198,6203,1.0
198,6750,1.0
198,9991,1.0
199,4234,1.0
199,5116,1.0
199,8509,1.0
200,830,1.0
200,8629,1.0
200,9502,1.0
201,990,1.0
201,3909,1.0
201,8693,1.0
201,9461,1.0
201,11694,1.0
201,11785,1.0
202,766,1.0
202,6537,1.0
202,8935,1.0
202,9135,1.0
202,9299,1.0
202,9319,1.0
203,471,1.0
203,2218,1.0
203,3321,1.0
203,3957,1.0
203,8114,1.0
203,8601,1.0
203,11803,1.0
204,464,1.0
204,739,1.0
204,1969,1.0
204,3246,1.0
204,3574,1.0
204,4271,1.0
204,6510,1.0
204,6687,1.0
204,11384,1.0
204,11919,1.0
205,420,1.0
205,514,1.0
205,663,1.0
205,774,1.0
205,1187,1.0
205,9281,1.0
206,838,1.0
206,840,1.0
206,3055,1.0
206,4178,1.0
206,6737,1.0
207,798,1.0
207,1390,1.0
207,6207,1.0
207,6380,1.0
208,10034,1.0
209,1937,1.0
209,5822,1.0
209,5833,1.0
209,6041,1.0
209,6667,1.0
209,6820,1.0
209,8588,1.0
209,8998,1.0
210,467,1.0
210,3397,1.0
210,5563,1.0
210,7188,1.0
210,8257,1.0
210,9601,1.0
210,11958,1.0
211,1139,1.0
212,213,1.0
212,4378,1.0
212,6208,1.0
212,6597,1.0
213,212,1.0
213,411,1.0
213,3791,1.0
213,4378,1.0
213,4380,1.0
213,6208,1.0
213,6853,1.0
213,10159,1.0
214,6259,1.0
214,9727,1.0
214,11652,1.0
215,911,1.0
215,2133,1.0
215,7518,1.0
215,8110,1.0
215,8734,1.0
215,10722,1.0
215,11622,1.0
216,623,1.0
216,3006,1.0
216,5354,1.0
216,8137,1.0
216,9754,1.0
216,9801,1.0
216,9969,1.0
216,12030,1.0
217,899,1.0
217,1769,1.0
217,2572,1.0
217,4239,1.0
217,7041,1.0
217,8129,1.0
218,608,1.0
218,3104,1.0
218,3995,1.0
219,330,1.0
219,3325,1.0
219,4056,1.0
219,4180,1.0
220,7996,1.0
220,11004,1.0
220,11890,1.0
220,12029,1.0
221,105,1.0
221,908,1.0
221,7504,1.0
221,7576,1.0
222,10511,1.0
223,448,1.0
223,727,1.0
