Wealth.index,Type.of.place.of.residence,Frequency.eats.fish,Frequency.eats.chicken.or.meat,Has.refrigerator,id
4,1,2,0,1,735
4,1,0,0,1,736
2,1,0,0,0,737
4,0,0,0,1,738
4,0,0,0,1,739
2,1,0,0,1,740
3,0,0,0,1,741
4,0,0,0,1,742
2,1,1,1,0,743
4,0,0,0,1,744
1,1,1,1,0,745
1,1,0,0,0,746
3,1,0,0,1,747
4,0,0,0,1,748
3,1,0,0,1,749
4,0,0,0,1,750
4,0,0,0,1,751
4,0,1,2,1,752
4,0,1,1,1,753
4,0,0,0,1,754
4,0,0,0,1,755
3,0,0,0,0,756
4,1,0,0,1,757
4,0,0,0,1,758
3,1,0,0,1,759
1,1,0,0,0,760
4,0,1,0,1,761
4,1,0,0,1,762
3,1,0,0,1,763
2,0,0,0,0,764
4,1,0,1,1,765
2,1,0,0,0,766
4,1,0,0,1,767
4,1,0,0,1,768
3,1,0,0,1,769
2,1,0,0,0,770
3,1,0,0,0,771
3,1,0,0,1,772
1,1,0,0,0,773
3,1,0,0,1,774
4,1,0,2,1,775
4,0,0,0,1,776
4,1,0,0,1,777
4,0,0,1,1,778
4,0,0,0,1,779
4,0,1,1,1,780
4,0,0,0,1,781
4,1,0,0,0,782
4,0,0,0,1,783
4,0,0,0,1,784
4,0,0,0,1,785
0,1,0,0,0,786
4,1,0,0,1,787
2,0,0,0,0,788
4,0,0,0,1,789
4,0,0,0,1,790
2,1,0,0,1,791
1,1,1,1,0,792
1,1,0,0,0,793
3,1,0,0,1,794
3,1,0,0,1,795
3,1,0,0,1,796
4,1,0,0,0,797
3,1,0,0,1,798
3,1,1,1,1,799
4,1,1,1,1,800
4,0,0,0,1,801
4,0,0,0,1,802
4,0,0,0,1,803
4,1,0,0,1,804
2,1,0,0,0,805
4,0,0,0,1,806
4,0,0,1,1,807
3,0,0,0,1,808
3,0,0,0,1,809
4,0,0,0,1,810
3,1,0,0,0,811
3,1,0,0,1,812
4,0,0,0,1,813
4,0,0,1,1,814
3,1,1,2,1,815
2,1,0,1,0,816
2,1,0,1,1,817
1,1,0,0,0,818
4,0,0,0,1,819
4,0,0,0,1,820
0,1,2,2,0,821
3,0,1,1,0,822
4,1,0,0,1,823
4,1,0,0,1,824
3,1,0,0,1,825
1,1,0,0,0,826
2,1,0,0,0,827
4,1,0,0,1,828
3,0,0,0,0,829
4,1,0,0,1,830
4,0,0,1,1,831
4,0,0,1,1,832
4,1,0,0,1,833
4,0,0,0,1,834
2,1,0,0,0,835
4,1,0,0,1,836
2,1,0,0,0,837
4,1,0,0,1,838
1,1,0,0,0,839
4,1,0,0,1,840
3,1,0,1,0,841
4,1,0,0,1,842
4,1,0,0,1,843
4,1,0,0,1,844
4,1,0,0,1,845
3,1,0,0,0,846
2,0,0,0,0,847
4,1,0,0,1,848
4,0,0,0,1,849
4,0,0,0,1,850
4,0,0,0,1,851
4,1,0,0,1,852
4,1,0,0,1,853
4,0,0,0,1,854
3,1,0,0,1,855
3,1,2,2,1,856
1,1,0,0,0,857
1,1,0,0,0,858
4,1,0,0,1,859
4,1,0,0,1,860
0,1,1,1,0,861
2,1,0,0,1,862
4,1,0,0,1,863
4,1,0,0,1,864
2,1,0,0,0,865
4,1,0,0,1,866
2,1,0,0,1,867
2,1,0,2,1,868
4,1,0,0,1,869
4,1,0,0,1,870
1,1,1,1,0,871
3,1,0,0,0,872
2,1,0,0,0,873
4,1,1,2,1,874
2,1,0,0,0,875
3,1,0,1,1,876
4,1,0,0,1,877
4,1,1,1,1,878
4,1,0,0,1,879
4,1,0,0,1,880
4,0,0,1,1,881
3,1,1,2,1,882
3,1,0,0,0,883
3,1,1,1,1,884
2,0,0,0,1,885
3,0,0,0,1,886
4,1,2,2,1,887
4,1,0,0,1,888
4,1,0,1,0,889
4,1,1,1,1,890
4,1,0,0,1,891
2,1,0,0,1,892
4,1,2,2,1,893
2,1,1,1,0,894
4,1,0,1,1,895
3,1,2,2,1,896
3,1,2,2,1,897
4,1,0,0,1,898
1,1,0,0,0,899
4,1,0,0,1,900
1,1,1,1,0,901
3,1,0,1,1,902
4,1,0,0,1,903
3,1,0,0,1,904
3,1,0,0,1,905
3,0,0,1,1,906
4,1,0,0,1,907
4,1,1,1,1,908
3,1,2,2,1,909
3,1,1,1,1,910
3,1,1,1,0,911
4,1,1,1,1,912
4,0,0,0,1,913
3,0,2,2,1,914
4,0,0,0,1,915
3,0,0,0,1,916
4,0,0,0,1,917
4,1,0,0,1,918
3,1,0,0,1,919
3,1,0,0,1,920
4,0,0,0,1,921
3,1,0,1,1,922
4,1,1,1,1,923
4,1,0,0,1,924
3,1,0,0,1,925
4,1,0,0,1,926
1,1,0,0,0,927
1,1,0,1,0,928
4,1,0,2,1,929
4,1,0,0,1,930
4,1,0,0,1,931
4,1,0,0,1,932
3,1,1,1,0,933
4,1,2,2,1,934
3,1,0,0,0,935
4,1,0,0,1,936
4,1,0,0,1,937
3,1,0,1,0,938
3,1,0,0,1,939
4,1,1,1,1,940
3,0,1,1,1,941
4,0,0,0,1,942
3,1,1,1,0,943
4,1,0,0,1,944
1,1,0,1,0,945
3,1,0,0,1,946
3,1,0,0,0,947
3,1,0,0,0,948
3,1,0,1,1,949
3,1,0,1,0,950
1,1,0,1,0,951
4,1,1,1,1,952
1,1,0,1,0,953
4,1,0,0,1,954
4,1,0,0,1,955
3,1,0,0,1,956
3,1,0,0,1,957
4,1,0,0,1,958
2,1,0,0,0,959
4,1,0,0,1,960
3,1,1,1,0,961
2,1,0,1,1,962
3,1,1,1,1,963
4,1,2,1,1,964
3,1,0,0,1,965
1,1,0,0,0,966
1,1,0,0,0,967
2,1,0,0,0,968
4,1,0,0,1,969
3,1,1,0,1,970
4,1,0,0,1,971
4,1,0,0,1,972
4,1,1,1,1,973
3,1,1,1,1,974
3,1,0,0,1,975
3,1,1,1,0,976
3,1,1,1,0,977
2,1,0,1,0,978
2,1,0,1,0,979
2,1,1,1,0,980
2,1,1,1,0,981
3,1,1,1,1,982
3,1,0,1,1,983
4,1,1,1,1,984
4,0,0,0,1,985
4,0,0,0,1,986
3,1,0,0,0,987
4,1,0,0,1,988
4,1,0,0,1,989
3,1,0,0,0,990
4,0,0,0,1,991
4,1,0,0,1,992
4,1,0,0,1,993
4,1,0,0,1,994
3,1,0,1,1,995
4,1,0,0,1,996
3,1,0,0,1,997
4,1,0,0,1,998
2,1,0,0,0,999
2,1,0,0,0,1000
3,1,0,0,1,1001
4,0,0,0,1,1002
2,1,0,2,1,1003
2,1,0,0,1,1004
4,0,1,1,1,1005
4,0,0,0,1,1006
4,0,0,0,1,1007
3,1,1,1,1,1008
4,1,2,1,1,1009
4,1,0,0,1,1010
3,1,1,0,1,1011
3,1,0,0,0,1012
3,1,0,0,1,1013
3,1,0,0,1,1014
4,0,0,0,1,1015
4,0,0,0,1,1016
3,1,0,1,1,1017
3,1,0,0,0,1018
3,1,0,0,0,1019
0,1,1,1,0,1020
4,1,0,1,1,1021
4,1,0,2,1,1022
4,0,0,1,1,1023
4,1,0,1,1,1024
1,1,0,0,0,1025
3,1,0,0,0,1026
2,1,1,1,0,1027
4,0,0,0,1,1028
4,0,0,0,1,1029
4,1,2,1,1,1030
3,1,0,0,1,1031
3,1,0,0,1,1032
4,1,0,0,1,1033
4,1,0,0,1,1034
3,1,0,0,1,1035
4,1,1,1,1,1036
3,1,0,0,1,1037
4,1,0,0,0,1038
3,1,0,0,0,1039
3,1,1,1,1,1040
4,1,0,0,1,1041
3,1,0,0,1,1042
4,1,0,0,1,1043
4,1,0,0,1,1044
4,1,0,0,1,1045
3,1,0,0,1,1046
3,0,1,1,0,1047
4,1,0,0,1,1048
3,1,1,1,1,1049
4,1,0,1,1,1050
4,1,2,2,1,1051
4,1,1,1,1,1052
2,1,0,0,1,1053
4,1,1,2,1,1054
4,1,0,2,1,1055
2,1,0,0,0,1056
4,1,0,1,1,1057
1,1,0,1,0,1058
2,1,1,1,1,1059
1,1,1,1,0,1060
4,1,1,1,1,1061
2,1,0,2,0,1062
3,1,0,1,1,1063
4,1,1,1,1,1064
2,0,1,2,0,1065
3,0,1,1,0,1066
4,1,0,0,1,1067
4,0,1,2,1,1068
2,1,0,0,1,1069
4,1,0,0,1,1070
4,1,0,0,1,1071
2,1,0,0,0,1072
1,1,0,1,0,1073
3,0,1,1,1,1074
4,0,0,0,1,1075
4,0,0,0,1,1076
0,1,0,0,0,1077
1,1,0,0,0,1078
2,1,0,1,0,1079
4,0,1,1,1,1080
4,0,1,1,1,1081
1,1,1,1,0,1082
4,1,3,3,1,1083
2,1,0,1,0,1084
2,1,1,1,0,1085
1,1,2,1,0,1086
2,1,1,2,1,1087
0,1,1,2,0,1088
3,1,1,2,0,1089
3,1,1,1,1,1090
4,1,0,0,1,1091
3,0,0,0,1,1092
4,1,2,2,1,1093
2,1,1,2,0,1094
2,1,3,1,0,1095
1,1,1,1,0,1096
2,1,0,0,1,1097
3,1,0,0,0,1098
3,1,2,1,1,1099
1,1,0,1,0,1100
1,1,0,1,0,1101
2,1,0,1,0,1102
3,1,1,3,0,1103
2,1,0,3,0,1104
4,1,1,2,1,1105
3,1,2,2,0,1106
2,1,2,2,0,1107
1,1,2,2,0,1108
1,1,2,2,0,1109
2,1,1,1,0,1110
4,1,0,0,1,1111
2,1,1,1,0,1112
4,1,0,0,1,1113
3,1,0,0,1,1114
4,1,1,2,1,1115
2,1,1,1,1,1116
2,1,0,0,1,1117
3,1,0,0,1,1118
3,1,0,0,1,1119
0,1,1,1,0,1120
2,1,0,0,0,1121
0,1,0,1,0,1122
4,0,0,0,1,1123
4,0,2,0,1,1124
1,1,0,0,0,1125
4,1,1,2,1,1126
4,1,1,1,1,1127
4,1,1,1,1,1128
4,1,0,1,1,1129
3,0,0,2,1,1130
0,1,0,1,0,1131
4,0,0,0,1,1132
4,0,0,0,1,1133
2,0,2,2,0,1134
3,0,1,2,1,1135
4,0,0,0,1,1136
4,0,0,0,1,1137
4,0,0,0,1,1138
1,1,0,1,0,1139
